Time(s)	ADC_Value	RPS	Transition
1.3803	462	4.69648	0
1.3853	347	4.69648	0
1.3903	277	4.69648	0
1.3953	250	4.69648	0
1.4003	232	4.69648	0
1.4053	222	4.69648	0
1.4103	216	4.69648	0
1.4153	210	4.69648	0
1.4203	206	4.69648	0
1.4253	202	4.69648	0
1.4303	201	4.69648	0
1.4353	205	4.69648	0
1.4403	207	4.69648	0
1.4453	209	4.69648	0
1.4503	212	4.69648	1
1.4553	214	4.69648	0
1.4603	221	4.69648	0
1.4653	229	4.69648	0
1.4703	262	4.69648	0
1.4753	330	4.69648	0
1.4803	419	4.69648	0
1.4853	501	4.69648	0
1.4903	567	4.69648	0
1.4953	620	4.69648	0
1.5003	665	4.36102	0
1.5053	674	4.36102	0
1.5103	633	4.36102	0
1.5153	553	4.36102	0
1.5203	584	4.36102	-1
1.5253	605	4.36102	0
1.5303	594	4.36102	0
1.5354	581	4.36102	0
1.5404	571	4.36102	0
1.5454	553	4.36102	1
1.5504	508	4.36102	-1
1.5554	378	4.36102	0
1.5604	290	4.36102	0
1.5654	251	4.36102	0
1.5704	228	4.36102	0
1.5754	214	4.36102	0
1.5804	210	4.36102	0
1.5854	207	4.36102	0
1.5904	205	4.36102	0
1.5954	204	4.36102	0
1.6004	205	4.36102	0
1.6054	203	4.36102	0
1.6104	200	4.36102	0
1.6154	193	4.36102	0
1.6204	185	4.36102	0
1.6254	211	4.36102	0
1.6304	258	4.36102	1
1.6354	334	4.36102	0
1.6404	414	4.36102	0
1.6454	482	4.36102	0
1.6504	520	4.36102	0
1.6554	559	4.36102	0
1.6604	587	4.36102	0
1.6654	609	4.36102	0
1.6704	625	4.36102	0
1.6754	586	4.36102	0
1.6804	548	4.36102	0
1.6854	496	4.36102	-1
1.6904	455	4.36102	0
1.6954	332	4.36102	0
1.7004	271	4.36102	0
1.7054	248	4.36102	0
1.7104	229	4.36102	0
1.7154	220	4.36102	0
1.7204	215	4.36102	0
1.7254	208	4.36102	0
1.7304	206	4.36102	0
1.7354	202	4.36102	0
1.7404	202	4.36102	0
1.7454	205	4.36102	0
1.7504	207	4.69727	0
1.7554	209	4.69727	0
1.7604	213	4.69727	1
1.7654	217	4.69727	0
1.7704	223	4.69727	0
1.7754	241	4.69727	0
1.7804	295	4.69727	0
1.7854	378	4.69727	0
1.7904	470	4.69727	0
1.7954	542	4.69727	0
1.8004	601	4.69727	0
1.8054	649	4.69727	0
1.8104	670	4.69727	0
1.8154	645	4.69727	0
1.8204	569	4.69727	0
1.8254	570	4.69727	0
1.8304	600	4.69727	-1
1.8354	597	4.69727	0
1.8404	584	4.69727	0
1.8454	574	4.69727	0
1.8504	557	4.69727	1
1.8554	542	4.69727	0
1.8604	430	4.69727	-1
1.8654	319	4.69727	0
1.8704	265	4.69727	0
1.8754	237	4.69727	0
1.8804	218	4.69727	0
1.8854	210	4.69727	0
1.8904	209	4.69727	0
1.8954	205	4.69727	0
1.9004	204	4.69727	0
1.9054	205	4.69727	0
1.9104	204	4.69727	0
1.9154	202	4.69727	0
1.9204	196	4.69727	0
1.9254	185	4.69727	0
1.9304	201	4.69727	0
1.9354	240	4.69727	0
1.9404	306	4.69727	1
1.9454	386	4.69727	0
1.9504	465	4.69727	0
1.9554	506	4.69727	0
1.9604	545	4.69727	0
1.9654	578	4.69727	0
1.9704	596	4.69727	0
1.9754	624	4.69727	0
1.9804	618	4.69727	0
1.9854	573	4.69727	0
1.9904	529	4.69727	0
1.9954	486	4.69727	-1
2.0004	425	4.69723	0
2.0054	301	4.69723	0
2.0104	261	4.69723	0
2.0154	241	4.69723	0
2.0204	226	4.69723	0
2.0254	218	4.69723	0
2.0304	212	4.69723	0
2.0354	207	4.69723	0
2.0404	204	4.69723	0
2.0454	201	4.69723	0
2.0504	204	4.69723	0
2.0554	207	4.69723	0
2.0604	208	4.69723	0
2.0654	210	4.69723	1
2.0704	215	4.69723	0
2.0754	220	4.69723	0
2.0804	226	4.69723	0
2.0854	250	4.69723	0
2.0904	310	4.69723	0
2.0954	394	4.69723	0
2.1004	484	4.69723	0
2.1054	552	4.69723	0
2.1104	609	4.69723	0
2.1154	656	4.69723	0
2.1204	674	4.69723	0
2.1254	648	4.69723	0
2.1304	568	4.69723	0
2.1354	572	4.69723	0
2.1404	602	4.69723	-1
2.1454	598	4.69723	0
2.1504	585	4.69723	0
2.1555	577	4.69723	0
2.1605	556	4.69723	1
2.1655	537	4.69723	-1
2.1705	419	4.69723	0
2.1755	311	4.69723	0
2.1805	261	4.69723	0
2.1855	233	4.69723	0
2.1905	217	4.69723	0
2.1955	210	4.69723	0
2.2005	208	4.69723	0
2.2055	205	4.69723	0
2.2105	204	4.69723	0
2.2155	206	4.69723	0
2.2205	204	4.69723	0
2.2255	201	4.69723	0
2.2305	195	4.69723	0
2.2355	184	4.69723	0
2.2405	206	4.69723	0
2.2455	247	4.69723	0
2.2505	317	5.03277	1
2.2555	398	5.03277	0
2.2605	475	5.03277	0
2.2655	511	5.03277	0
2.2705	551	5.03277	0
2.2755	580	5.03277	0
2.2805	600	5.03277	0
2.2855	629	5.03277	0
2.2905	609	5.03277	0
2.2955	568	5.03277	0
2.3005	517	5.03277	0
2.3055	479	5.03277	-1
2.3105	397	5.03277	0
2.3155	289	5.03277	0
2.3205	258	5.03277	0
2.3255	237	5.03277	0
2.3305	224	5.03277	0
2.3355	217	5.03277	0
2.3405	211	5.03277	0
2.3455	208	5.03277	0
2.3505	204	5.03277	0
2.3555	202	5.03277	0
2.3605	204	5.03277	0
2.3655	206	5.03277	0
2.3705	208	5.03277	0
2.3755	210	5.03277	0
2.3805	214	5.03277	1
2.3855	218	5.03277	0
2.3905	224	5.03277	0
2.3955	243	5.03277	0
2.4005	297	5.03277	0
2.4055	380	5.03277	0
2.4105	471	5.03277	0
2.4155	541	5.03277	0
2.4205	601	5.03277	0
2.4255	649	5.03277	0
2.4305	676	5.03277	0
2.4355	655	5.03277	0
2.4405	586	5.03277	0
2.4455	561	5.03277	0
2.4505	595	5.03277	-1
2.4555	605	5.03277	0
2.4605	587	5.03277	0
2.4655	580	5.03277	0
2.4705	565	5.03277	0
2.4755	549	5.03277	1
2.4805	491	5.03277	-1
2.4855	359	5.03277	0
2.4905	285	5.03277	0
2.4955	249	5.03277	0
2.5005	225	5.36829	0
2.5055	214	5.36829	0
2.5105	210	5.36829	0
2.5155	206	5.36829	0
2.5205	205	5.36829	0
2.5255	205	5.36829	0
2.5305	206	5.36829	0
2.5355	204	5.36829	0
2.5405	200	5.36829	0
2.5455	193	5.36829	0
2.5505	185	5.36829	0
2.5555	211	5.36829	0
2.5605	254	5.36829	1
2.5655	324	5.36829	0
2.5705	403	5.36829	0
2.5755	478	5.36829	0
2.5805	513	5.36829	0
2.5855	554	5.36829	0
2.5905	582	5.36829	0
2.5955	601	5.36829	0
2.6005	627	5.36829	0
2.6055	630	5.36829	0
2.6105	585	5.36829	0
2.6155	546	5.36829	0
2.6205	498	5.36829	-1
2.6255	454	5.36829	0
2.6305	333	5.36829	0
2.6355	271	5.36829	0
2.6405	247	5.36829	0
2.6455	230	5.36829	0
2.6505	220	5.36829	0
2.6555	215	5.36829	0
2.6605	209	5.36829	0
2.6655	206	5.36829	0
2.6705	202	5.36829	0
2.6755	202	5.36829	0
2.6805	206	5.36829	0
2.6855	207	5.36829	0
2.6905	209	5.36829	0
2.6955	212	5.36829	1
2.7005	216	5.36829	0
2.7055	220	5.36829	0
2.7105	227	5.36829	0
2.7155	253	5.36829	0
2.7205	311	5.36829	0
2.7255	394	5.36829	0
2.7305	482	5.36829	0
2.7355	549	5.36829	0
2.7405	606	5.36829	0
2.7455	653	5.36829	0
2.7505	685	4.36179	0
2.7555	678	4.36179	0
2.7605	621	4.36179	0
2.7655	553	4.36179	0
2.7705	591	4.36179	-1
2.7755	609	4.36179	0
2.7805	597	4.36179	0
2.7855	585	4.36179	0
2.7905	573	4.36179	0
2.7955	559	4.36179	1
2.8005	527	4.36179	-1
2.8055	406	4.36179	0
2.8105	304	4.36179	0
2.8155	258	4.36179	0
2.8206	233	4.36179	0
2.8256	215	4.36179	0
2.8306	210	4.36179	0
2.8356	208	4.36179	0
2.8406	205	4.36179	0
2.8456	205	4.36179	0
2.8506	205	4.36179	0
2.8556	205	4.36179	0
2.8606	203	4.36179	0
2.8656	196	4.36179	0
2.8706	186	4.36179	0
2.8756	197	4.36179	0
2.8806	233	4.36179	0
2.8856	293	4.36179	1
2.8906	373	4.36179	0
2.8956	453	4.36179	0
2.9006	500	4.36179	0
2.9056	542	4.36179	0
2.9106	574	4.36179	0
2.9156	596	4.36179	0
2.9206	623	4.36179	0
2.9256	627	4.36179	0
2.9306	588	4.36179	0
2.9356	544	4.36179	0
2.9406	498	4.36179	-1
2.9456	453	4.36179	0
2.9506	325	4.36179	0
2.9556	271	4.36179	0
2.9606	246	4.36179	0
2.9656	229	4.36179	0
2.9706	220	4.36179	0
2.9756	214	4.36179	0
2.9806	209	4.36179	0
2.9856	205	4.36179	0
2.9906	202	4.36179	0
2.9956	203	4.36179	0
3.0006	205	4.69725	0
3.0056	208	4.69725	0
3.0106	209	4.69725	0
3.0156	213	4.69725	1
3.0206	218	4.69725	0
3.0256	223	4.69725	0
3.0306	237	4.69725	0
3.0356	284	4.69725	0
3.0406	361	4.69725	0
3.0456	453	4.69725	0
3.0506	528	4.69725	0
3.0556	590	4.69725	0
3.0606	640	4.69725	0
3.0656	675	4.69725	0
3.0706	667	4.69725	0
3.0756	610	4.69725	0
3.0806	553	4.69725	0
3.0856	593	4.69725	-1
3.0906	605	4.69725	0
3.0956	592	4.69725	0
3.1006	581	4.69725	0
3.1056	570	4.69725	0
3.1106	552	4.69725	1
3.1156	487	4.69725	-1
3.1206	352	4.69725	0
3.1256	278	4.69725	0
3.1306	244	4.69725	0
3.1356	221	4.69725	0
3.1406	213	4.69725	0
3.1456	210	4.69725	0
3.1506	206	4.69725	0
3.1556	205	4.69725	0
3.1606	205	4.69725	0
3.1656	206	4.69725	0
3.1706	203	4.69725	0
3.1756	198	4.69725	0
3.1806	189	4.69725	0
3.1856	192	4.69725	0
3.1906	225	4.69725	0
3.1956	281	4.69725	1
3.2006	361	4.69725	0
3.2056	439	4.69725	0
3.2106	495	4.69725	0
3.2156	535	4.69725	0
3.2206	569	4.69725	0
3.2256	592	4.69725	0
3.2306	617	4.69725	0
3.2356	629	4.69725	0
3.2406	591	4.69725	0
3.2456	549	4.69725	0
3.2506	498	4.36172	-1
3.2556	462	4.36172	0
3.2606	346	4.36172	0
3.2656	277	4.36172	0
3.2706	251	4.36172	0
3.2756	232	4.36172	0
3.2806	221	4.36172	0
3.2856	215	4.36172	0
3.2906	210	4.36172	0
3.2956	206	4.36172	0
3.3006	203	4.36172	0
3.3056	202	4.36172	0
3.3106	205	4.36172	0
3.3156	207	4.36172	0
3.3206	209	4.36172	0
3.3256	212	4.36172	1
3.3306	217	4.36172	0
3.3356	221	4.36172	0
3.3406	231	4.36172	0
3.3456	268	4.36172	0
3.3506	341	4.36172	0
3.3556	433	4.36172	0
3.3606	513	4.36172	0
3.3656	578	4.36172	0
3.3706	631	4.36172	0
3.3756	669	4.36172	0
3.3806	666	4.36172	0
3.3856	613	4.36172	0
3.3906	549	4.36172	0
3.3956	589	4.36172	-1
3.4006	604	4.36172	0
3.4056	593	4.36172	0
3.4106	579	4.36172	0
3.4156	567	4.36172	0
3.4206	553	4.36172	1
3.4256	481	4.36172	-1
3.4306	351	4.36172	0
3.4356	277	4.36172	0
3.4406	243	4.36172	0
3.4457	222	4.36172	0
3.4507	213	4.36172	0
3.4557	210	4.36172	0
3.4607	205	4.36172	0
3.4657	205	4.36172	0
3.4707	205	4.36172	0
3.4757	205	4.36172	0
3.4807	203	4.36172	0
3.4857	196	4.36172	0
3.4907	186	4.36172	0
3.4957	198	4.36172	0
3.5007	234	5.03276	0
3.5057	297	5.03276	1
3.5107	378	5.03276	0
3.5157	456	5.03276	0
3.5207	502	5.03276	0
3.5257	543	5.03276	0
3.5307	575	5.03276	0
3.5357	594	5.03276	0
3.5407	624	5.03276	0
3.5457	619	5.03276	0
3.5507	574	5.03276	0
3.5557	533	5.03276	0
3.5607	488	5.03276	-1
3.5657	432	5.03276	0
3.5707	304	5.03276	0
3.5757	263	5.03276	0
3.5807	242	5.03276	0
3.5857	226	5.03276	0
3.5907	218	5.03276	0
3.5957	213	5.03276	0
3.6007	208	5.03276	0
3.6057	205	5.03276	0
3.6107	201	5.03276	0
3.6157	204	5.03276	0
3.6207	206	5.03276	0
3.6257	207	5.03276	0
3.6307	210	5.03276	0
3.6357	213	5.03276	1
3.6407	218	5.03276	0
3.6457	224	5.03276	0
3.6507	239	5.03276	0
3.6557	287	5.03276	0
3.6607	363	5.03276	0
3.6657	455	5.03276	0
3.6707	530	5.03276	0
3.6757	591	5.03276	0
3.6807	640	5.03276	0
3.6857	676	5.03276	0
3.6907	669	5.03276	0
3.6957	613	5.03276	0
3.7007	554	5.03276	0
3.7057	593	5.03276	-1
3.7107	604	5.03276	0
3.7157	590	5.03276	0
3.7207	581	5.03276	0
3.7257	562	5.03276	0
3.7307	552	5.03276	1
3.7357	473	5.03276	-1
3.7407	346	5.03276	0
3.7457	277	5.03276	0
3.7507	243	5.36830	0
3.7557	222	5.36830	0
3.7607	212	5.36830	0
3.7657	209	5.36830	0
3.7707	206	5.36830	0
3.7757	204	5.36830	0
3.7807	205	5.36830	0
3.7857	205	5.36830	0
3.7907	204	5.36830	0
3.7957	201	5.36830	0
3.8007	193	5.36830	0
3.8057	184	5.36830	0
3.8107	205	5.36830	0
3.8157	245	5.36830	0
3.8207	312	5.36830	1
3.8257	393	5.36830	0
3.8307	472	5.36830	0
3.8357	508	5.36830	0
3.8407	550	5.36830	0
3.8457	580	5.36830	0
3.8507	597	5.36830	0
3.8557	629	5.36830	0
3.8607	612	5.36830	0
3.8657	572	5.36830	0
3.8707	528	5.36830	0
3.8757	484	5.36830	-1
3.8807	429	5.36830	0
3.8857	302	5.36830	0
3.8907	264	5.36830	0
3.8957	243	5.36830	0
3.9007	226	5.36830	0
3.9057	219	5.36830	0
3.9107	213	5.36830	0
3.9157	208	5.36830	0
3.9207	205	5.36830	0
3.9257	202	5.36830	0
3.9307	202	5.36830	0
3.9357	205	5.36830	0
3.9407	207	5.36830	0
3.9457	209	5.36830	0
3.9507	210	5.36830	1
3.9557	215	5.36830	0
3.9607	219	5.36830	0
3.9657	224	5.36830	0
3.9707	240	5.36830	0
3.9757	287	5.36830	0
3.9807	363	5.36830	0
3.9857	453	5.36830	0
3.9907	528	5.36830	0
3.9957	589	5.36830	0
